Metric,Subject,Correlation,P_Value,Significant,N_Points,Abs_Correlation
Story_Meta_Uncertainty_Index,Mistral 7B,0.3695773549427936,0.4708737765245725,False,6,0.3695773549427936
Story_Meta_Uncertainty_Index,Phi-3 Mini,0.323382684093844,0.5318350659141229,False,6,0.323382684093844
Story_Meta_Uncertainty_Index,InternLM 1.8B,0.2588315639369162,0.6204227063249348,False,6,0.2588315639369162
Story_Entity_Density,Human,-0.41260932118502114,0.41620865470471125,False,6,0.41260932118502114
Story_Entity_Density,Llama 3.1 70B,0.7111376059735942,0.11311067079958573,False,6,0.7111376059735942
Story_Entity_Density,Qwen 2.5 32B,0.814476844139383,0.048435516005592816,True,6,0.814476844139383
Story_Entity_Density,OLMo 13B,0.8403642423355288,0.03619131777611655,True,6,0.8403642423355288
Story_Entity_Density,Mistral 7B,0.9683068054604261,0.001490770619591527,True,6,0.9683068054604261
Story_Entity_Density,Phi-3 Mini,0.9148742402865699,0.01056116501181722,True,6,0.9148742402865699
Story_Entity_Density,InternLM 1.8B,0.8032230520908588,0.05427203428930969,False,6,0.8032230520908588
Story_Causal_Depth,Human,-0.491540502749604,0.3220703040330952,False,6,0.491540502749604
Story_Causal_Depth,Llama 3.1 70B,-0.2938734657407599,0.571879494775815,False,6,0.2938734657407599
Story_Causal_Depth,Qwen 2.5 32B,-0.3322969593470336,0.5199008869792014,False,6,0.3322969593470336
Story_Causal_Depth,OLMo 13B,0.026221855531389837,0.9606762315894593,False,6,0.026221855531389837
Story_Causal_Depth,Mistral 7B,0.08100395415235292,0.8787598281881608,False,6,0.08100395415235292
Story_Causal_Depth,Phi-3 Mini,-0.09355380018439229,0.8600787058189304,False,6,0.09355380018439229
Story_Causal_Depth,InternLM 1.8B,0.2218347099687233,0.6727062489116296,False,6,0.2218347099687233
Story_Uncertainty_Level,Human,-0.9014094545151055,0.01410098872192006,True,6,0.9014094545151055
